Question,Answer
"(Alessandro_Volta) A year before improving and popularizing the electrophorus, what did Volta become?",A professor of physics at the Royal School in Como (related to: Alessandro_Volta)
(Alessandro_Volta) Was Volta buried where he died or was he buried someplace else?,where he died (related to: Alessandro_Volta)
(Alessandro_Volta) Was Volta buried where he died or was he buried someplace else?,Yes. (related to: Alessandro_Volta)
(Alessandro_Volta) Did Volta marry before he became professor of experimental physics at the University of Pavia?,no (related to: Alessandro_Volta)
(Alessandro_Volta) Did Volta marry before he became professor of experimental physics at the University of Pavia?,No. (related to: Alessandro_Volta)
(Alessandro_Volta) What happened in 1810?,Volta was made a count by Napoleon. (related to: Alessandro_Volta)
(Alessandro_Volta) Wasn't Alessandro Volta born in Como?,"Yes, Volta was born in Como, Italy and was taught in the public schools there. (related to: Alessandro_Volta)"
(Alessandro_Volta) Was Alessandro Volta born in Como?,yes (related to: Alessandro_Volta)
(Alessandro_Volta) Who became a professor of physics at the Royal School in Como?,Volta. (related to: Alessandro_Volta)
(Alessandro_Volta) When was Volta made a count by Napoleon?,Volta was made a count by Napoleon in 1810. (related to: Alessandro_Volta)
(Alessandro_Volta) Is Voltas legacy celebrated by a Temple on the shore of Lake Como in the center of the town?,Yes (related to: Alessandro_Volta)
(Alessandro_Volta) Is the battery made by Volta credited as the first electrochemical cell?,Yes (related to: Alessandro_Volta)
(Alessandro_Volta) Was Volta made a count by Napoleon in 1810?,"Yes, Volta was made a count by Napoleon in 1810. (related to: Alessandro_Volta)"
(Alessandro_Volta) In what year did he become a professor of physics at the Royal School in Como?,1774 (related to: Alessandro_Volta)
(Amedeo_Avogadro) Was Avogadro a  professor at the University of Turin?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Was Avogadro a  professor at the University of Turin?,"Yes, Avogadro was a professor at the University of Turin. (related to: Amedeo_Avogadro)"
(Amedeo_Avogadro) Was he a member of the Royal Superior Council on Public Instruction?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Was he a member of the Royal Superior Council on Public Instruction?,"Yes,  Avogadro was a member of the Royal Superior Council on Public Instruction. (related to: Amedeo_Avogadro)"
(Amedeo_Avogadro) Is Avogadro's number used to compute the results of chemical reactions?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Is Avogadro's number used to compute the results of chemical reactions?,"Yes, Avagadro's number is used to compute the results of chemical reactions. (related to: Amedeo_Avogadro)"
(Amedeo_Avogadro) Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) In what language was his 1811 paper published?,French (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Who was Avogadro's wife?,Felicita Mazz (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Who was Avogadro's wife?,Felicita Mazzé was Avogadro's wife. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Why did Avogadro lose his chair at the University of Turin?,Avogadro lost his chair at the University of Turin because he was active in the revolutionary movements of 1821 against the king of Sardinia. (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Was Amedeo Avogadro was born in Turin?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Was Amedeo Avogadro was born in Turin?,yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Is Avogadro hailed as a founder of the atomic-molecular theory?,yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes (related to: Amedeo_Avogadro)
"(Amedeo_Avogadro) In 1820, Avogadro became a professor of physics where?",University of Turin (related to: Amedeo_Avogadro)
"(Amedeo_Avogadro) In 1820, Avogadro became a professor of physics where?",University of Turin (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Avogadro did not actually use what word?,atom (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Avogadro did not actually use what word?,atom (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) What would a German call Avogadro's number?,Loschmidt number (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) What would a German call Avogadro's number?,Loschmidt number (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Is Amedeo Avogadro Italian?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Is Amedeo Avogadro Italian?,yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes (related to: Amedeo_Avogadro)
(Amedeo_Avogadro) Did he become a professor before the revolutionary movements against the king of Sardinia?,yes (related to: Amedeo_Avogadro)
(Ant) Do ants belong to the Hymenoptera order?,yes (related to: Ant)
(Ant) Do ants belong to the Hymenoptera order?,yes (related to: Ant)
(Ant) Are ants used in cuisine?,yes (related to: Ant)
(Ant) Are ants used in cuisine?,yes (related to: Ant)
(Ant) Does an ant's head contain sensory organs?,yes (related to: Ant)
(Ant) Does an ant's head contain sensory organs?,yes (related to: Ant)
(Ant) How do most ants travel?,most ants travel by walking (related to: Ant)
(Ant) How do most ants travel?,by walking (related to: Ant)
"(Ant) In ant colonies, what are the fertile female ants called?","""queens"" (related to: Ant)"
"(Ant) In ant colonies, what are the fertile female ants called?",queens (related to: Ant)
(Ant) Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants (related to: Ant)
(Ant) Who wrote about ants in A Tramp Abroad?,Mark Twain (related to: Ant)
"(Ant) Do the ants eat plants, meats, or both?",both (related to: Ant)
(Ant) What organs gives a bull ant its good sight?,compound eyes (related to: Ant)
(Ant) What may happen to red fire ants if we use boiling water on the queen?,nests of red fire ants may be destroyed (related to: Ant)
(Ant) What may happen to red fire ants if we use boiling water on the queen?,die (related to: Ant)
(Ant) Are ants found in Antartica?,"No, there are no ants in antarctica. (related to: Ant)"
(Ant) Are ants found in Antartica?,NULL (related to: Ant)
(Ant) Do male ants take flight before females?,"Yes, male ants take flight before females. (related to: Ant)"
(Ant) Do male ants take flight before females?,NULL (related to: Ant)
(Ant) Do worker ants have wings?,"No, worker ants do not have wings. (related to: Ant)"
(Ant) Do worker ants have wings?,NULL (related to: Ant)
(Ant) What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments. (related to: Ant)"
(Ant) What are the three segments of an ant?,NULL (related to: Ant)
(Ant) What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies. (related to: Ant)
(Ant) What are the ant colonies that lack queens called?,NULL (related to: Ant)
(Ant) Where are bullet ants located?,Bullet ants are located in Central and South America. (related to: Ant)
(Ant) Where are bullet ants located?,NULL (related to: Ant)
(Ant) Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees. (related to: Ant)"
(Ant) Do ants belong to the same order as bees?,NULL (related to: Ant)
(Ant) What is the most common color of ants?,Most ants are red or black. (related to: Ant)
(Ant) What is the most common color of ants?,NULL (related to: Ant)
(Ant) Do all ants build nests?,"No, not all ants build nests. (related to: Ant)"
(Ant) Do all ants build nests?,NULL (related to: Ant)
(Ant) Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok (related to: Ant)
(Ant) Do ants thrive in most ecosystems?,Yes. (related to: Ant)
(Ant) Are several species of ants able to use the Earths magnetic field?,yes (related to: Ant)
(Ant) Are termites actually more closely related to cockroaches as well as mantids?,"Yes, termites are actually more closely related to cockroaches as well as mantids. (related to: Ant)"
(Ant) Do some caterpillars produce vibrations as well as sounds?,yes (related to: Ant)
(Ant) Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes (related to: Ant)
(Ant) Is the ant a marsupial?,no (related to: Ant)
(Ant) Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist. (related to: Ant)"
(Antwerp) Is Antwerp a city?,Yes (related to: Antwerp)
(Antwerp) Is Antwerp a city?,NULL (related to: Antwerp)
(Antwerp) Is Antwerp a municipality?,Yes (related to: Antwerp)
(Antwerp) Is Antwerp a municipality?,NULL (related to: Antwerp)
(Antwerp) Is Antwerp in Belgium?,Yes (related to: Antwerp)
(Antwerp) Is Antwerp in Belgium?,NULL (related to: Antwerp)
(Antwerp) What is Antwerp?,Antwerp is a city and municipality in Belgium. (related to: Antwerp)
(Antwerp) What is Antwerp?,NULL (related to: Antwerp)
(Antwerp) What is the population of the city of Antwerp?,"Antwerp's population is 472,071. (related to: Antwerp)"
(Antwerp) What is the population of the city of Antwerp?,NULL (related to: Antwerp)
(Antwerp) Where is the city of Antwerp?,Antwerp is in Belgium (related to: Antwerp)
(Antwerp) Where is the city of Antwerp?,NULL (related to: Antwerp)
(Antwerp) Why is Antwerp important to fashion?,Yes (related to: Antwerp)
(Antwerp) Why is Antwerp important to fashion?,NULL (related to: Antwerp)
(Antwerp) Antwerp is to the east of what river?,Antwerp is to the east of the Scheldt river (related to: Antwerp)
(Antwerp) Antwerp is to the east of what river?,NULL (related to: Antwerp)
(Antwerp) How many municipalities does Antwerp have?,"None, Antwerp is a municipality. (related to: Antwerp)"
(Antwerp) How many municipalities does Antwerp have?,NULL (related to: Antwerp)
(Arabic_language) Is Arabic a Central Semitic language?,Yes (related to: Arabic_language)
(Arabic_language) Is Arabic a Central Semitic language?,NULL (related to: Arabic_language)
(Arabic_language) Was Arabic a major vehicle of culture in Europe?,Yes (related to: Arabic_language)
(Arabic_language) Was Arabic a major vehicle of culture in Europe?,NULL (related to: Arabic_language)
(Arabic_language) Is Arabic classified alongside Semitic languages?,Yes (related to: Arabic_language)
(Arabic_language) Is Arabic classified alongside Semitic languages?,NULL (related to: Arabic_language)
(Arabic_language) How many people speak the Arabic language?,280 million people. (related to: Arabic_language)
(Arabic_language) How many people speak the Arabic language?,NULL (related to: Arabic_language)
(Arabic_language) When was Arabic calligraphy invented?,Many styles were developed after 786. (related to: Arabic_language)
(Arabic_language) When was Arabic calligraphy invented?,NULL (related to: Arabic_language)
(Arabic_language) Where is Arabic spoken?,The Middle East and North Africa (related to: Arabic_language)
(Arabic_language) Where is Arabic spoken?,NULL (related to: Arabic_language)
(Arabic_language) Why is Arabic related to Islam?,Arabic is the liturgical language of Islam (related to: Arabic_language)
(Arabic_language) Why is Arabic related to Islam?,NULL (related to: Arabic_language)
(Arabic_language) Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close. (related to: Arabic_language)"
(Arabic_language) Why does Arabic heavily influence European languages?,NULL (related to: Arabic_language)
"(Arabic_language) How do you say ""black"" in Arabic?",NULL (related to: Arabic_language)
(Arabic_language) Is Arabic the largest member of the Semitic language family?,yes (related to: Arabic_language)
(Arabic_language) Is Arabic the largest member of the Semitic language family?,yes (related to: Arabic_language)
(Arabic_language) Does Modern Standard Arabic continue to evolve like other languages?,yes (related to: Arabic_language)
(Arabic_language) Does Modern Standard Arabic continue to evolve like other languages?,yes (related to: Arabic_language)
(Arabic_language) Is Hassaniya Arabic spoken in Mauritania?,yes (related to: Arabic_language)
(Arabic_language) Is Hassaniya Arabic spoken in Mauritania?,Yes (related to: Arabic_language)
(Arabic_language) What is the only variety of modern Arabic that has acquired official language status?,maltese (related to: Arabic_language)
(Arabic_language) What is the only variety of modern Arabic that has acquired official language status?,Maltese (related to: Arabic_language)
(Arabic_language) Egyptian Arabic is spoken by how many in Egypt?,76 million (related to: Arabic_language)
(Arabic_language) Egyptian Arabic is spoken by how many in Egypt?,76 million (related to: Arabic_language)
(Arabic_language) Where are the Western Arabic numerals used?,North Africa (related to: Arabic_language)
(Arabic_language) Where are the Western Arabic numerals used?,present-day North Africa (related to: Arabic_language)
(Arabic_language) The most active Academies of Arabic Language are found where?,damascus and cairo (related to: Arabic_language)
(Arabic_language) Hassan Massoudy is a master of what genre?,Hassan Massoudy (related to: Arabic_language)
(Arabic_language) Hassan Massoudy is a master of what genre?,Arabic calligraphy (related to: Arabic_language)
(Berlin) Is Berlin the capital city of Germany?,Berlin is the capital city of Germany. (related to: Berlin)
(Berlin) Is Berlin the capital city of Germany?,yes (related to: Berlin)
(Berlin) Is Berlin the largest city in Germany?,Berlin is Germany's largest city. (related to: Berlin)
(Berlin) Is Berlin the largest city in Germany?,yes (related to: Berlin)
(Berlin) Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin.  (related to: Berlin)
(Berlin) Is Schloss Charlottenburg the largest existing palace in Berlin?,yes (related to: Berlin)
(Berlin) Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament.  (related to: Berlin)
(Berlin) Which building is the site of the German parliament?,The Reichstag building (related to: Berlin)
(Berlin) Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final.  (related to: Berlin)
(Berlin) Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final (related to: Berlin)
(Berlin) Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten. (related to: Berlin)
(Berlin) Where is the Berliner Dom located?,on the Spree Island (related to: Berlin)
(Berlin) Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s. (related to: Berlin)
(Berlin) Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building (related to: Berlin)
"(Berlin) Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?","Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources. (related to: Berlin)"
"(Berlin) Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?",Because burning lignite produces harmful emissions (related to: Berlin)
(Berlin) What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde. (related to: Berlin)
(Berlin) What are the names of the two zoos in Berlin?,Zoologischer Garten Berlin and Tierpark Friedrichsfelde (related to: Berlin)
(Berlin) Is Berlin the headquarters of Springer?,"Yes, Berlin is the headquarters of Springer. (related to: Berlin)"
(Berlin) Is Berlin the headquarters of Springer?,NULL (related to: Berlin)
(Berlin) Does the Gendarmenmarkt border the French Cathedral?,"Yes, the Gendarmenmarkt borders the French Cathedral. (related to: Berlin)"
(Berlin) Does the Gendarmenmarkt border the French Cathedral?,NULL (related to: Berlin)
(Berlin) Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin. (related to: Berlin)"
(Berlin) Is the Nauen plain north of Berlin?,NULL (related to: Berlin)
(Berlin) Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum. (related to: Berlin)
(Berlin) Where is the bust of Queen Nefertiti?,NULL (related to: Berlin)
(Berlin) Where does the German President live?,"The German President lives west of the center, Schloss Bellevue. (related to: Berlin)"
(Berlin) Where does the German President live?,NULL (related to: Berlin)
(Berlin) When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city. (related to: Berlin)
(Berlin) When did Berlin give up its status as a free Hanseatic city?,NULL (related to: Berlin)
(Berlin) Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin. (related to: Berlin)
(Berlin) Which is the busiest airport in Berlin?,NULL (related to: Berlin)
(Berlin) How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war. (related to: Berlin)
(Berlin) How many occupation zones was Germany divided into after the war?,NULL (related to: Berlin)
(Berlin) Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin. (related to: Berlin)
(Berlin) Where was Popkomm held before moving to Berlin?,NULL (related to: Berlin)
(Blaise_Pascal) Who was Blaise Pascal's father?,"His father, Ã‰tienne Pascal (1588â€“1651), who also had an interest in science and mathematics, was a local judge (related to: Blaise_Pascal)"
(Blaise_Pascal) Who was Blaise Pascal's father?,Ã‰tienne Pascal. (related to: Blaise_Pascal)
(Blaise_Pascal) Was Pascal a French mathematician?,yes (related to: Blaise_Pascal)
(Blaise_Pascal) Was Pascal a French mathematician?,Yes. (related to: Blaise_Pascal)
(Blaise_Pascal) Did Pascal have poor health throughout his life?,yes (related to: Blaise_Pascal)
(Blaise_Pascal) Did Pascal have poor health throughout his life?,Yes. (related to: Blaise_Pascal)
(Blaise_Pascal) How old was Pascal when he lost his mother?,at the age of three (related to: Blaise_Pascal)
(Blaise_Pascal) How old was Pascal when he lost his mother?,3. (related to: Blaise_Pascal)
(Blaise_Pascal) Who was Pascal's younger sister?,Jacqueline (related to: Blaise_Pascal)
(Blaise_Pascal) Who was Pascal's younger sister?,Jacqueline. (related to: Blaise_Pascal)
(Blaise_Pascal) What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism (related to: Blaise_Pascal)
(Blaise_Pascal) What led Pascal to his religious conversion?,sickness and Jansenism (related to: Blaise_Pascal)
(Blaise_Pascal) How old was Pascal when he died?,39 (related to: Blaise_Pascal)
(Blaise_Pascal) How old was Pascal when he died?,1662-08-19. (related to: Blaise_Pascal)
(Blaise_Pascal) Did Pascal write about cycloid before 1658?,no (related to: Blaise_Pascal)
(Blaise_Pascal) Is there a programming language called Pascal?,yes (related to: Blaise_Pascal)
(Blaise_Pascal) Is there a programming language called Pascal?,Yes. (related to: Blaise_Pascal)
(Blaise_Pascal) Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris (related to: Blaise_Pascal)
(Blaise_Pascal) Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was (related to: Blaise_Pascal)"
(Blaise_Pascal) Who died the next morning?,Pascal. (related to: Blaise_Pascal)
(Blaise_Pascal) When did his father die?,1651 (related to: Blaise_Pascal)
(Blaise_Pascal) When did his father die?,His father died in 1651. (related to: Blaise_Pascal)
"(Blaise_Pascal) Was he a child prodigy who was educated by his father, a civil servant?",yes (related to: Blaise_Pascal)
"(Blaise_Pascal) Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes (related to: Blaise_Pascal)
(Blaise_Pascal) Did Pascal also write in defense of the scientific method?,Yes (related to: Blaise_Pascal)
(Butterfly) Do butterflies make sounds?,Some butterflies make sounds. (related to: Butterfly)
(Butterfly) Do butterflies make sounds?,NULL (related to: Butterfly)
(Butterfly) Do butterflies have two eyes?,"Yes, butterflies have two eyes. (related to: Butterfly)"
(Butterfly) Do butterflies have two eyes?,NULL (related to: Butterfly)
(Butterfly) Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died. (related to: Butterfly)
(Butterfly) Does a black moth mean that someone has died?,NULL (related to: Butterfly)
(Butterfly) What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins. (related to: Butterfly)
(Butterfly) What is the outer layer of the cuticle made of?,NULL (related to: Butterfly)
(Butterfly) Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies. (related to: Butterfly)
(Butterfly) Where was there a vast swarm of butterflies?,NULL (related to: Butterfly)
(Butterfly) What butterfly is migratory?,The Monarch butterfly is migratory. (related to: Butterfly)
(Butterfly) What butterfly is migratory?,NULL (related to: Butterfly)
(Butterfly) Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera. (related to: Butterfly)"
(Butterfly) Do butterflies carry more pollen than Hymenoptera?,NULL (related to: Butterfly)
(Butterfly) What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators. (related to: Butterfly)
(Butterfly) What allows the butterfly to evade predators?,NULL (related to: Butterfly)
(Butterfly) What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size. (related to: Butterfly)
(Butterfly) What happens if a wing is removed?,NULL (related to: Butterfly)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Cello) NULL,NULL (related to: Cello)
(Charles-Augustin_de_Coulomb) Was Charles-Augustin de Coulomb a Spanish Biologist?,No. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Was Charles-Augustin de Coulomb a Spanish Biologist?,"No, he was a French physicist. (related to: Charles-Augustin_de_Coulomb)"
(Charles-Augustin_de_Coulomb) Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him. (related to: Charles-Augustin_de_Coulomb)"
(Charles-Augustin_de_Coulomb) Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle. (related to: Charles-Augustin_de_Coulomb)"
(Charles-Augustin_de_Coulomb) What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Did Charles-Augustin de Coulomb come from a poor family?,No. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade. (related to: Charles-Augustin_de_Coulomb)"
(Charles-Augustin_de_Coulomb) What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Where is Collège des Quatre-Nations located?,In Montpellier. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) Where is Collège des Quatre-Nations located?,In Paris. (related to: Charles-Augustin_de_Coulomb)
(Charles-Augustin_de_Coulomb) What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism (related to: Charles-Augustin_de_Coulomb)
